geoid,measure,year,region_type,value,moe
51013100700,material_deprivation_indicator,2017,tract,0.132375815528454,
51013100800,material_deprivation_indicator,2017,tract,0.13632466320661,
51013100900,material_deprivation_indicator,2017,tract,0.134634754287237,
51013101000,material_deprivation_indicator,2017,tract,0.118517927608845,
51013101100,material_deprivation_indicator,2017,tract,0.0689231883722893,
51013101200,material_deprivation_indicator,2017,tract,0.141738226388208,
51013101300,material_deprivation_indicator,2017,tract,0.0929405993306884,
51013101401,material_deprivation_indicator,2017,tract,0.242502969857668,
51013101402,material_deprivation_indicator,2017,tract,0.172180281671543,
51013101403,material_deprivation_indicator,2017,tract,0.322028532715726,
51013101404,material_deprivation_indicator,2017,tract,0.316077777023424,
51013101500,material_deprivation_indicator,2017,tract,0.245985168501885,
51013101601,material_deprivation_indicator,2017,tract,0.201081192497985,
51013101602,material_deprivation_indicator,2017,tract,0.310152233964604,
51013101603,material_deprivation_indicator,2017,tract,0.252062945350979,
51013101701,material_deprivation_indicator,2017,tract,0.321740535820925,
51013101702,material_deprivation_indicator,2017,tract,0.397800740438964,
51013101703,material_deprivation_indicator,2017,tract,0.275554963033363,
51013101801,material_deprivation_indicator,2017,tract,0.21208628905317,
51013101802,material_deprivation_indicator,2017,tract,0.305377414472071,
51013101803,material_deprivation_indicator,2017,tract,0.264283735825783,
51013101900,material_deprivation_indicator,2017,tract,0.107181638577551,
51013102001,material_deprivation_indicator,2017,tract,0.37462817054163,
51013102002,material_deprivation_indicator,2017,tract,0.284306018730421,
51013102003,material_deprivation_indicator,2017,tract,0.426989240273204,
51013102100,material_deprivation_indicator,2017,tract,0.291339282899075,
51013102200,material_deprivation_indicator,2017,tract,0.490091263985736,
51013102301,material_deprivation_indicator,2017,tract,0.121310207942776,
51013102302,material_deprivation_indicator,2017,tract,0.315964602082484,
51013102400,material_deprivation_indicator,2017,tract,0.267736550420962,
51013102500,material_deprivation_indicator,2017,tract,0.214759283942426,
51013102600,material_deprivation_indicator,2017,tract,0.285821003240202,
51013102701,material_deprivation_indicator,2017,tract,0.435878846759636,
51013102702,material_deprivation_indicator,2017,tract,0.296511244790893,
51013102801,material_deprivation_indicator,2017,tract,0.311569339248992,
51013102802,material_deprivation_indicator,2017,tract,0.0801011987122527,
51013102901,material_deprivation_indicator,2017,tract,0.0875332935243356,
51013102902,material_deprivation_indicator,2017,tract,0.210404813964263,
51013103000,material_deprivation_indicator,2017,tract,0.0879174944370106,
51013103100,material_deprivation_indicator,2017,tract,0.279477755797547,
51013103200,material_deprivation_indicator,2017,tract,0.331707927739766,
51013103300,material_deprivation_indicator,2017,tract,0.411522651942357,
51013103401,material_deprivation_indicator,2017,tract,0.227245035602387,
51013103402,material_deprivation_indicator,2017,tract,0.287019782086775,
51013103501,material_deprivation_indicator,2017,tract,0.35573487591358,
51013103502,material_deprivation_indicator,2017,tract,0.420105618270779,
51013103503,material_deprivation_indicator,2017,tract,0.4870061096116,
51013103601,material_deprivation_indicator,2017,tract,0.10681442302871,
51013103602,material_deprivation_indicator,2017,tract,0.446883369195071,
51013103700,material_deprivation_indicator,2017,tract,0.110534515923278,
51013103800,material_deprivation_indicator,2017,tract,0.22551139793194,
51013980100,material_deprivation_indicator,2017,tract,0.186286869891594,
51013980200,material_deprivation_indicator,2017,tract,0.186286869891594,
51015070100,material_deprivation_indicator,2017,tract,0.187926841109085,
51015070200,material_deprivation_indicator,2017,tract,0.0616413700880918,
51015070300,material_deprivation_indicator,2017,tract,0.11259289316158,
51015070400,material_deprivation_indicator,2017,tract,0.125242829768258,
51015070500,material_deprivation_indicator,2017,tract,0.116623345452315,
51015070600,material_deprivation_indicator,2017,tract,0.140828194727053,
51015070700,material_deprivation_indicator,2017,tract,0.0925342905402752,
51015070800,material_deprivation_indicator,2017,tract,0.0788812438131942,
51015070900,material_deprivation_indicator,2017,tract,0.0881552998378872,
51015071000,material_deprivation_indicator,2017,tract,0.116388563242083,
51015071101,material_deprivation_indicator,2017,tract,0.135437106945721,
51015071102,material_deprivation_indicator,2017,tract,0.152385276925534,
51015071200,material_deprivation_indicator,2017,tract,0.160894883713416,
51017920100,material_deprivation_indicator,2017,tract,0.236143444492627,
51019030101,material_deprivation_indicator,2017,tract,0.124468962562603,
51019030103,material_deprivation_indicator,2017,tract,0.0833334634267323,
51019030104,material_deprivation_indicator,2017,tract,0.100868547338279,
51019030201,material_deprivation_indicator,2017,tract,0.0631442028525044,
51019030202,material_deprivation_indicator,2017,tract,0.107563812168809,
51019030300,material_deprivation_indicator,2017,tract,0.0917866269914949,
51019030401,material_deprivation_indicator,2017,tract,0.0548694525650957,
51019030402,material_deprivation_indicator,2017,tract,0.0845634357050866,
51019030501,material_deprivation_indicator,2017,tract,0.130346103250463,
51019030503,material_deprivation_indicator,2017,tract,0.151990474566213,
51019030504,material_deprivation_indicator,2017,tract,0.0918093750693241,
51019030601,material_deprivation_indicator,2017,tract,0.0773021930307949,
51019030602,material_deprivation_indicator,2017,tract,0.132566626795816,
51019030603,material_deprivation_indicator,2017,tract,0.143773542296685,
51019030604,material_deprivation_indicator,2017,tract,0.152226578005549,
51019030605,material_deprivation_indicator,2017,tract,0.0995801636008417,
51019050100,material_deprivation_indicator,2017,tract,0.314794554251291,
51021040100,material_deprivation_indicator,2017,tract,0.145281440883228,
51021040200,material_deprivation_indicator,2017,tract,0.212509490306639,
51023040100,material_deprivation_indicator,2017,tract,0.101450485751327,
